07-08-2025;Name;2025-01-01;2025-08-06;2025-08-05;2025-08-04;2025-07-31;2025-07-07;2025-05-07;2025-02-07;2024-08-07;2020-08-07
MU;Micron Technology, Inc.;84,16;108,78;109,06;107,77;109,14;119,92;82,62;92,30;86,80;48,75
BNPQF;BNP Paribas SA;60,15;91,97;89,51;89,51;91,63;95,00;87,05;70,96;64,90;42,30
INTC;Intel Corporation;20,05;20,41;20,19;19,50;19,80;22,00;20,31;19,10;18,99;48,03
USB-PH;U.S. Bancorp;22,05;20,72;20,74;20,80;20,60;20,20;21,58;22,68;21,26;21,77
MCO;Moody's Corporation;473,37;517,48;515,85;519,85;515,73;502,37;467,87;503,30;451,05;275,52
ABNB;Airbnb, Inc.;131,41;130,50;129,96;130,96;132,41;137,00;123,12;134,98;113,01;0,00
AXAHY;AXA SA;35,58;35,58;35,58;35,58;35,58;35,58;35,58;35,58;34,67;20,36
MDLZ;Mondelez International, Inc.;59,73;62,07;62,30;63,53;64,69;68,82;67,18;58,45;69,42;55,60
NTDOF;Nintendo Co., Ltd.;58,65;93,15;92,56;90,30;84,21;90,38;86,50;69,75;52,00;47,45
GEV;GE Vernova Inc.;328,93;664,55;649,72;662,77;660,29;530,28;406,81;377,97;166,07;0,00
RYCEF;Rolls-Royce Holdings plc;7,05;14,50;14,33;14,50;14,18;13,21;10,19;7,42;5,98;3,31
IBKR;Interactive Brokers Group, Inc.;176,67;63,82;63,71;64,90;65,56;57,78;44,95;57,78;112,77;51,21
MMM;3M Company;129,09;150,82;150,09;147,87;149,22;151,84;138,64;149,87;122,83;132,38
RACE;Ferrari N.V.;424,84;442,92;441,79;438,32;443,39;486,32;476,74;446,44;417,95;185,95
DASH;DoorDash, Inc.;167,75;258,08;255,28;258,02;250,25;246,89;176,99;195,54;121,49;0,00
FTNT;Fortinet, Inc.;94,48;96,58;96,21;98,55;99,90;106,65;106,72;107,66;69,93;26,20
LDNXF;London Stock Exchange Group plc;138,71;135,75;127,63;126,69;123,50;147,95;156,55;145,00;122,60;113,15
MAR;Marriott International, Inc.;278,94;262,71;259,72;259,13;263,83;278,40;255,99;303,97;214,77;93,78
CL;Colgate-Palmolive Company;90,91;84,61;83,06;83,36;83,85;93,33;90,88;86,76;102,43;76,24
CMG;Chipotle Mexican Grill, Inc.;60,30;42,69;42,63;42,88;42,88;55,46;51,64;57,27;53,63;23,61
JDCMF;JD.com, Inc.;17,53;16,00;16,00;16,00;16,00;16,06;16,37;22,00;11,64;0,00
MSI;Motorola Solutions, Inc.;462,23;442,12;434,05;439,97;438,98;426,37;415,15;479,31;404,34;144,26
TEAM;Atlassian Corporation;243,38;185,50;185,44;185,69;191,78;216,05;205,71;314,28;137,41;170,93
PYPL;PayPal Holdings, Inc.;85,35;69,42;67,83;68,01;68,76;76,18;68,69;77,31;62,74;198,63
MTSUY;Mitsubishi Corporation;16,32;20,97;20,39;20,48;19,90;19,91;18,97;16,46;0,00;0,00
